observationURI,sequenceNumber,obsID,collection,observationID,algorithm_name,type,intent
b'caom:TESS/tess2018206190142-s0001-s0002-0000000471013524-00111',2.0,b'00000000-0000-0000-a8a7-f6362c78a3a7',b'TESS',b'tess2018206190142-s0001-s0002-0000000471013524-00111',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206190142-s0001-s0002-0000000471013582-00111',2.0,b'00000000-0000-0000-9af3-fa3432d09932',b'TESS',b'tess2018206190142-s0001-s0002-0000000471013582-00111',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206190142-s0001-s0003-0000000471013582-00129',3.0,b'00000000-0000-0000-9f53-f9e3d976aabb',b'TESS',b'tess2018206190142-s0001-s0003-0000000471013582-00129',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206190142-s0001-s0003-0000000471013524-00129',3.0,b'00000000-0000-0000-95b0-887b8da4ec3e',b'TESS',b'tess2018206190142-s0001-s0003-0000000471013524-00129',b'timeseries',b'',b'science'
b'caom:TESS/tess2018206190142-s0001-s0009-0000000471013582-00205',9.0,b'00000000-0000-0000-a310-43428d1d891f',b'TESS',b'tess2018206190142-s0001-s0009-0000000471013582-00205',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000471013537-0140-s',10.0,b'00000000-0000-0000-b4a3-39479c0524be',b'TESS',b'tess2019085135100-s0010-0000000471013537-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000350710135-0140-s',10.0,b'00000000-0000-0000-bdc6-641a6766e352',b'TESS',b'tess2019085135100-s0010-0000000350710135-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000471013553-0140-s',10.0,b'00000000-0000-0000-9e94-af662e8cbff7',b'TESS',b'tess2019085135100-s0010-0000000471013553-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000471013575-0140-s',10.0,b'00000000-0000-0000-8176-779640ea1482',b'TESS',b'tess2019085135100-s0010-0000000471013575-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000471013549-0140-s',10.0,b'00000000-0000-0000-bc81-3c193e5d5585',b'TESS',b'tess2019085135100-s0010-0000000471013549-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000471013589-0140-s',10.0,b'00000000-0000-0000-a015-3a614532f196',b'TESS',b'tess2019085135100-s0010-0000000471013589-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019085135100-s0010-0000000310135994-0140-s',10.0,b'00000000-0000-0000-a76a-7bf4d1610cea',b'TESS',b'tess2019085135100-s0010-0000000310135994-0140-s',b'timeseries',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-4-2-0140-s',10.0,b'00000000-0000-0000-95a1-6f981c91c5c6',b'TESS',b'tess2019110135933-s0010-4-2-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-2-4-0140-s',10.0,b'00000000-0000-0000-ab90-3f22d3fd65a0',b'TESS',b'tess2019110135933-s0010-2-4-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-1-4-0140-s',10.0,b'00000000-0000-0000-9818-8d699e67f042',b'TESS',b'tess2019110135933-s0010-1-4-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-3-3-0140-s',10.0,b'00000000-0000-0000-8a99-9b4347b619a0',b'TESS',b'tess2019110135933-s0010-3-3-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-1-3-0140-s',10.0,b'00000000-0000-0000-8155-452bde2e2d13',b'TESS',b'tess2019110135933-s0010-1-3-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-1-2-0140-s',10.0,b'00000000-0000-0000-81f9-e5f92f544911',b'TESS',b'tess2019110135933-s0010-1-2-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-3-2-0140-s',10.0,b'00000000-0000-0000-8007-5ea6d8eed03d',b'TESS',b'tess2019110135933-s0010-3-2-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-3-1-0140-s',10.0,b'00000000-0000-0000-9549-8b134d6a9b5c',b'TESS',b'tess2019110135933-s0010-3-1-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-2-2-0140-s',10.0,b'00000000-0000-0000-9f2c-b1a850a0ab25',b'TESS',b'tess2019110135933-s0010-2-2-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-3-4-0140-s',10.0,b'00000000-0000-0000-a0dc-f5a40eac5efb',b'TESS',b'tess2019110135933-s0010-3-4-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-2-1-0140-s',10.0,b'00000000-0000-0000-8f49-9ec432d8e8e1',b'TESS',b'tess2019110135933-s0010-2-1-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-4-4-0140-s',10.0,b'00000000-0000-0000-99cf-39477fe1f9ab',b'TESS',b'tess2019110135933-s0010-4-4-0140-s',b'exposure',b'',b'science'
b'caom:TESS/tess2019110135933-s0010-4-1-0140-s',10.0,b'00000000-0000-0000-8c80-10d8d1d71aa6',b'TESS',b'tess2019110135933-s0010-4-1-0140-s',b'exposure',b'',b'science'
